"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Set 19","16,24","20,96","21,15","13,31","-","-14,44%"
"Out 19","13,22","16,02","21,46","12,19","-","-18,60%"
"Nov 19","12,62","12,99","14,17","11,42","-","-4,54%"
"Dez 19","13,78","12,69","17,99","11,71","-","9,19%"
"Jan 20","18,84","13,46","19,99","11,75","-","36,72%"
"Fev 20","40,11","18,64","49,48","13,38","-","112,90%"
"Mar 20","53,54","34,86","85,47","24,93","-","33,48%"
"Abr 20","34,15","57,38","60,59","30,54","-","-36,22%"
"Mai 20","27,51","38,17","40,32","25,92","-","-19,44%"
"Jun 20","30,43","28,94","44,44","23,54","-","10,61%"
"Jul 20","24,46","30,96","33,67","23,55","-","-19,62%"
"Ago 20","26,41","25,75","27,09","20,28","-","7,97%"
"Set 20","26,37","25,86","38,28","24,84","-","-0,15%"
"Out 20","38,02","25,78","41,16","24,03","-","44,18%"
"Nov 20","20,57","38,57","38,78","19,51","-","-45,90%"
"Dez 20","22,75","20,21","31,46","19,97","-","10,60%"
"Jan 21","33,09","23,04","37,51","21,09","-","45,45%"
"Fev 21","27,95","31,45","33,96","19,69","-","-15,53%"
"Mar 21","19,40","25,20","31,90","18,68","-","-30,59%"
"Abr 21","18,61","18,60","19,90","15,38","-","-4,07%"
"Mai 21","16,76","18,65","28,93","15,90","-","-9,94%"
"Jun 21","15,83","17,24","21,82","14,10","-","-5,55%"
"Jul 21","18,24","15,62","25,09","14,25","-","15,22%"
"Ago 21","16,48","18,16","24,74","15,19","-","-9,65%"
"Set 21","23,14","16,06","28,79","15,68","-","40,41%"
"Out 21","16,26","24,78","24,89","14,84","-","-29,73%"
